[04/12/25 15:22:01] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[09/12/25 14:17:34] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[09/12/25 14:20:31] | DEBUG | EXP:None | CALL home()
[09/12/25 14:20:32] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 14:20:32] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.551s)
[09/12/25 14:20:32] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.078s)
[09/12/25 14:29:02] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[09/12/25 14:29:37] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[09/12/25 14:29:37] | DEBUG | EXP:None | CALL move_xy(np.float64(35.5), np.float64(7.2), module_name='rack1')
[09/12/25 14:29:37] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.5, Y=7.2. Result: Move XY: 2, Success' (Duration: 0.512s)
[09/12/25 14:29:37] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.5), np.float64(7.2)) (Duration: 0.521s)
[09/12/25 14:30:01] | DEBUG | EXP:None | CALL move_z(50)
[09/12/25 14:30:01] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: No valid response received.' (Duration: 0.525s)
[09/12/25 14:30:22] | DEBUG | EXP:None | CALL move_z(45)
[09/12/25 14:30:23] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.533s)
[09/12/25 14:30:26] | DEBUG | EXP:None | CALL move_z(45)
[09/12/25 14:30:27] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.514s)
[09/12/25 14:32:30] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 14:32:30] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.534s)
[09/12/25 14:32:51] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 14:32:52] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.501s)
[09/12/25 14:33:07] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[09/12/25 14:33:07] | DEBUG | EXP:None | CALL move_z(45.0)
[09/12/25 14:33:08] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.543s)
[09/12/25 14:33:08] | DEBUG | EXP:None | CALL move_xy(np.float64(35.5), np.float64(7.2), module_name='rack1')
[09/12/25 14:33:08] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.5, Y=7.2. Result: Move XY: 2, Success' (Duration: 0.509s)
[09/12/25 14:33:08] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.5), np.float64(7.2)) (Duration: 1.051s)
[09/12/25 14:33:35] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 14:33:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.529s)
[09/12/25 14:33:41] | DEBUG | EXP:None | CALL move_z(40, allow_in_vial=True)
[09/12/25 14:33:42] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 40. Result: Move Z: 2, Success' (Duration: 0.503s)
[09/12/25 14:36:58] | DEBUG | EXP:None | CALL go_into_vial(<GX_271.rack.Rack_209 object at 0x00000231FE6E3F10>, 1)
[09/12/25 14:36:58] | ERROR | EXP:None | EXCEPTION in go_into_vial after 0.020s: <GX_271.rack.Rack_209 object at 0x00000231FE6E3F10>
[09/12/25 14:37:16] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[09/12/25 15:58:13] | DEBUG | EXP:None | CALL home()
[09/12/25 15:58:14] | DEBUG | EXP:None | CALL move_z(120)
[09/12/25 15:58:15] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.538s)
[09/12/25 15:58:15] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.043s)
[09/12/25 15:59:36] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[09/12/25 15:59:36] | DEBUG | EXP:None | CALL move_xy(np.float64(35.5), np.float64(7.2), module_name='rack1')
[09/12/25 15:59:37] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.5, Y=7.2. Result: Move XY: 2, Success' (Duration: 0.534s)
[09/12/25 15:59:37] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.5), np.float64(7.2)) (Duration: 0.536s)
[09/12/25 16:00:00] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:00:01] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: No valid response received.' (Duration: 0.552s)
[09/12/25 16:06:31] | DEBUG | EXP:None | CALL move_z(50, allow_in_vial=True)
[09/12/25 16:06:31] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 50. Result: Move Z: 2, Success' (Duration: 0.516s)
[09/12/25 16:06:40] | DEBUG | EXP:None | CALL move_y(10)
[09/12/25 16:06:40] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:06:40] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.528s)
[09/12/25 16:06:41] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 10. Result: Move Y: 2, Success' (Duration: 1.061s)
[09/12/25 16:06:50] | DEBUG | EXP:None | CALL move_y(7.3)
[09/12/25 16:06:50] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.3. Result: Move Y: 2, Success' (Duration: 0.546s)
[09/12/25 16:06:55] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:06:56] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.541s)
[09/12/25 16:07:16] | DEBUG | EXP:None | CALL move_y(7.35)
[09/12/25 16:07:16] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:07:16] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.551s)
[09/12/25 16:07:17] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.35. Result: Move Y: 2, Success' (Duration: 1.112s)
[09/12/25 16:07:28] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:07:29] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.530s)
[09/12/25 16:08:19] | DEBUG | EXP:None | CALL move_x(36)
[09/12/25 16:08:19] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:08:20] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.532s)
[09/12/25 16:08:20] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 36. Result: Move X: 2, Success' (Duration: 1.060s)
[09/12/25 16:08:29] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:08:30] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.522s)
[09/12/25 16:08:49] | DEBUG | EXP:None | CALL move_x(35)
[09/12/25 16:08:49] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:08:50] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.524s)
