pc_timestamp,arduino_ms,analog_value
1778583443.1036568,20,524
1778583443.1046555,40,523
1778583443.1066537,60,521
1778583443.1086526,80,518
1778583443.1116514,100,523
1778583443.114649,120,519
1778583443.116648,140,520
1778583443.1196468,160,519
1778583443.121646,180,523
1778583443.1236448,200,522
1778583443.1266484,220,520
1778583443.1286426,240,520
1778583443.12964,260,523
1778583443.1306417,280,522
1778583443.1316388,300,520
1778583443.1326385,320,523
1778583443.1336381,340,523
1778583443.1336381,360,521
1778583443.1346378,380,521
1778583443.1356387,400,523
1778583443.1366382,420,523
1778583443.1376352,440,521
1778583443.1396346,460,521
1778583443.1396346,480,524
1778583443.1396346,500,523
1778583443.1396346,520,520
1778583443.140634,540,522
1778583443.1453161,560,523
1778583443.1658173,580,523
1778583443.1822925,600,519
1778583443.2026927,620,522
1778583443.2232158,640,523
1778583443.24372,660,522
1778583443.2643962,680,521
1778583443.2847164,700,522
1778583443.3052163,720,522
1778583443.3256702,740,521
1778583443.346598,760,521
1778583443.3631935,780,523
1778583443.3829312,800,523
1778583443.4036417,820,521
1778583443.4239671,840,521
1778583443.4444678,860,523
1778583443.4649544,880,523
1778583443.486941,900,521
1778583443.5059292,920,521
1778583443.5219197,940,523
1778583443.542656,960,523
1778583443.5631561,980,522
1778583443.5837145,1000,519
1778583443.6040938,1020,523
1778583443.624741,1040,523
1778583443.6450953,1060,522
1778583443.6655936,1080,521
1778583443.6860945,1100,523
1778583443.7024698,1120,523
1778583443.7229695,1140,521
1778583443.743347,1160,521
1778583443.763816,1180,523
1778583443.7843466,1200,522
1778583443.8048449,1220,520
1778583443.8252828,1240,522
1778583443.8458455,1260,523
1778583443.8628547,1280,522
1778583443.882721,1300,521
1778583443.9036164,1320,521
1778583443.9237227,1340,523
1778583443.9440982,1360,523
1778583443.965651,1380,520
1778583443.9855099,1400,521
1778583444.0054715,1420,522
1778583444.025728,1440,523
1778583444.042719,1460,520
1778583444.0627255,1480,522
1778583444.083693,1500,522
1778583444.1037972,1520,522
1778583444.1243057,1540,521
1778583444.1448255,1560,522
1778583444.1651993,1580,523
1778583444.1857312,1600,521
1778583444.2062318,1620,520
1778583444.2226064,1640,522
1778583444.2430995,1660,523
1778583444.2641811,1680,521
1778583444.2841003,1700,519
1778583444.3044755,1720,522
1778583444.3257167,1740,523
1778583444.3454745,1760,520
1778583444.365975,1780,521
1778583444.3823497,1800,522
1778583444.4028137,1820,522
1778583444.4233506,1840,520
1778583444.4437265,1860,520
1778583444.4641967,1880,522
1778583444.4847276,1900,522
1778583444.5057166,1920,520
1778583444.5257027,1940,521
1778583444.5462265,1960,522
1778583444.5625393,1980,522
1778583444.5829139,2000,521
1778583444.6041596,2020,521
1778583444.6239772,2040,522
1778583444.6444778,2060,523
1778583444.6653607,2080,520
1778583444.6854777,2100,521
1778583444.7058542,2120,522
1778583444.722354,2140,521
1778583444.7426944,2160,520
1778583444.7632282,2180,522
1778583444.7837276,2200,522
1778583444.8042293,2220,519
1778583444.8247302,2240,518
1778583444.8452282,2260,521
1778583444.865997,2280,522
1778583444.8859472,2300,523
1778583444.9026663,2320,520
1778583444.9229794,2340,521
1778583444.9434793,2360,522
1778583444.9646707,2380,521
1778583444.9852664,2400,520
1778583445.0052238,2420,522
1778583445.025839,2440,519
1778583445.0458562,2460,520
1778583445.06223,2480,521
1778583445.0827315,2500,521
1778583445.1034296,2520,521
1778583445.1237316,2540,520
1778583445.1441061,2560,521
1778583445.1651144,2580,522
1778583445.1851082,2600,522
1778583445.2056065,2620,518
1778583445.2261076,2640,520
1778583445.242482,2660,522
1778583445.2629824,2680,522
1778583445.283357,2700,520
1778583445.3038566,2720,522
1778583445.3243568,2740,522
1778583445.3448577,2760,521
1778583445.3653593,2780,518
1778583445.3858583,2800,521
1778583445.4022346,2820,522
1778583445.4227343,2840,521
1778583445.4431083,2860,521
1778583445.4637346,2880,521
1778583445.4841087,2900,523
1778583445.5046275,2920,520
1778583445.525109,2940,520
1778583445.54561,2960,522
1778583445.5659835,2980,522
1778583445.5832891,3000,520
1778583445.6028588,3020,520
1778583445.6233613,3040,522
1778583445.6438599,3060,522
1778583445.6643615,3080,519
1778583445.684736,3100,521
1778583445.7052352,3120,522
1778583445.7257364,3140,522
1778583445.7429643,3160,520
1778583445.7626133,3180,519
1778583445.7831109,3200,522
1778583445.8036125,3220,521
1778583445.8241127,3240,520
1778583445.8444874,3260,522
1778583445.8655818,3280,522
1778583445.885488,3300,521
1778583445.9059887,3320,520
1778583445.9223619,3340,522
1778583445.943395,3360,522
1778583445.9633808,3380,520
1778583445.9831555,3400,520
1778583446.004176,3420,522
1778583446.0246756,3440,522
1778583446.0451763,3460,519
1778583446.0657377,3480,520
1778583446.0820723,3500,523
1778583446.1026132,3520,521
1778583446.1231155,3540,520
1778583446.1440017,3560,521
1778583446.163989,3580,522
1778583446.1844893,3600,521
1778583446.2049892,3620,519
1778583446.2263129,3640,522
1778583446.2458642,3660,522
1778583446.2623649,3680,520
1778583446.28274,3700,520
1778583446.3032393,3720,522
1778583446.3237405,3740,523
1778583446.3442416,3760,520
1778583446.3647413,3780,521
1778583446.3852417,3800,522
1778583446.4057398,3820,523
1778583446.4219913,3840,520
1778583446.4426935,3860,520
1778583446.4629917,3880,522
1778583446.4834921,3900,521
1778583446.504506,3920,521
1778583446.5244904,3940,521
1778583446.5448484,3960,520
1778583446.5653667,3980,522
1778583446.5858672,4000,521
1778583446.6022425,4020,519
1778583446.6227434,4040,522
1778583446.6432428,4060,521
1778583446.6637425,4080,520
1778583446.6841183,4100,522
1778583446.7047443,4120,522
1778583446.725118,4140,520
1778583446.745618,4160,520
1778583446.7661183,4180,521
1778583446.782493,4200,522
1778583446.802996,4220,518
1778583446.8234956,4240,520
1778583446.8438692,4260,522
1778583446.8643692,4280,520
1778583446.8848693,4300,521
1778583446.9053695,4320,521
1778583446.92587,4340,522
1778583446.9422448,4360,521
1778583446.9627457,4380,520
1778583446.9831216,4400,521
1778583447.0038595,4420,523
1778583447.024122,4440,521
1778583447.0446248,4460,520
1778583447.0651224,4480,522
1778583447.0854964,4500,523
1778583447.1059973,4520,522
1778583447.122371,4540,520
1778583447.1428716,4560,521
1778583447.163725,4580,523
1778583447.1838725,4600,522
1778583447.2043722,4620,520
1778583447.2247486,4640,522
1778583447.245777,4660,522
1778583447.2657485,4680,521
1778583447.2828448,4700,521
1778583447.302905,4720,521
1778583447.3231254,4740,522
1778583447.3436277,4760,519
1778583447.364001,4780,521
1778583447.3844984,4800,519
1778583447.4049993,4820,523
1778583447.425499,4840,521
1778583447.446403,4860,520
1778583447.462482,4880,522
1778583447.4828742,4900,523
1778583447.5033743,4920,518
1778583447.5238748,4940,520
1778583447.5442498,4960,522
1778583447.564751,4980,522
1778583447.5852501,5000,520
1778583447.6057498,5020,520
1778583447.6221259,5040,522
1778583447.6426253,5060,523
1778583447.6631253,5080,520
1778583447.6835024,5100,520
1778583447.704001,5120,522
1778583447.7245028,5140,522
1778583447.7452402,5160,521
1778583447.7655017,5180,520
1778583447.7858768,5200,522
1778583447.8022516,5220,521
1778583447.8234322,5240,520
1778583447.8432539,5260,522
1778583447.8637538,5280,522
1778583447.8847916,5300,521
1778583447.9047525,5320,520
1778583447.9251297,5340,522
1778583447.9461088,5360,523
1778583447.9619086,5380,521
1778583447.9825034,5400,520
1778583448.0030034,5420,522
1778583448.023504,5440,522
1778583448.0440035,5460,522
1778583448.0645053,5480,520
1778583448.0856779,5500,521
1778583448.1053789,5520,523
1778583448.125879,5540,523
1778583448.1422555,5560,520
1778583448.1627543,5580,519
1778583448.1832547,5600,523
1778583448.2037559,5620,521
1778583448.2249851,5640,520
1778583448.2447562,5660,523
1778583448.2651322,5680,522
1778583448.286596,5700,519
1778583448.302522,5720,521
1778583448.3225064,5740,520
1778583448.3430057,5760,522
1778583448.3633814,5780,520
1778583448.383771,5800,520
1778583448.4043815,5820,522
1778583448.424883,5840,523
1778583448.445549,5860,520
1778583448.4665668,5880,521
1778583448.482209,5900,522
1778583448.503297,5920,523
1778583448.5232854,5940,521
1778583448.543609,5960,520
1778583448.5641088,5980,522
1778583448.584629,6000,522
1778583448.6051345,6020,519
1778583448.6255083,6040,520
1778583448.6420014,6060,522
1778583448.6623833,6080,522
1778583448.682884,6100,521
1778583448.7033849,6120,520
1778583448.7238843,6140,521
1778583448.744384,6160,523
1778583448.7647598,6180,521
1778583448.78526,6200,520
1778583448.8057592,6220,522
1778583448.8221364,6240,518
1778583448.8426347,6260,520
1778583448.8631349,6280,521
1778583448.8836353,6300,522
1778583448.9041355,6320,521
1778583448.9251466,6340,520
1778583448.9450107,6360,519
1778583448.9655118,6380,522
1778583448.9818857,6400,521
1778583449.0023878,6420,520
1778583449.0231714,6440,520
1778583449.043391,6460,522
1778583449.0637662,6480,522
1778583449.0842645,6500,520
1778583449.1047666,6520,520
1778583449.1252623,6540,522
1778583449.1457622,6560,522
1778583449.1621375,6580,519
1778583449.1832995,6600,520
1778583449.203013,6620,521
1778583449.223514,6640,522
1778583449.2440133,6660,517
1778583449.2645137,6680,520
1778583449.2850132,6700,522
1778583449.3055136,6720,522
1778583449.3258898,6740,521
1778583449.3422647,6760,521
1778583449.3627644,6780,522
1778583449.383264,6800,521
1778583449.4037645,6820,520
1778583449.4242647,6840,521
1778583449.4447658,6860,523
1778583449.4651396,6880,521
1778583449.485962,6900,520
1778583449.5059524,6920,521
1778583449.5264728,6940,522
1778583449.5424638,6960,522
1778583449.563512,6980,520
1778583449.5840142,7000,522
1778583449.6043112,7020,523
1778583449.6248908,7040,520
1778583449.6452422,7060,520
1778583449.6668215,7080,521
1778583449.6862662,7100,522
1778583449.7067688,7120,522
1778583449.7232678,7140,520
1778583449.7437663,7160,521
1778583449.7641437,7180,522
1778583449.7846422,7200,522
1778583449.8055575,7220,520
1778583449.8256438,7240,522
1778583449.8460176,7260,519
1778583449.8665183,7280,521
1778583449.8830185,7300,520
1778583449.903393,7320,521
1778583449.9238935,7340,522
1778583449.9443936,7360,521
1778583449.9648933,7380,520
1778583449.9853954,7400,522
1778583450.005894,7420,523
1778583450.0262666,7440,520
1778583450.046769,7460,520
1778583450.0631442,7480,522
1778583450.0836103,7500,522
1778583450.1045501,7520,520
1778583450.1246445,7540,520
1778583450.1451466,7560,522
1778583450.165564,7580,522
1778583450.1860206,7600,520
1778583450.2067738,7620,520
1778583450.2228978,7640,522
1778583450.2440753,7660,522
1778583450.263898,7680,520
1778583450.284272,7700,521
1778583450.3047712,7720,522
1778583450.3252733,7740,522
1778583450.3457718,7760,522
1778583450.366147,7780,522
1778583450.386768,7800,522
1778583450.4035192,7820,521
1778583450.4236472,7840,520
1778583450.4440238,7860,522
1778583450.4650366,7880,522
1778583450.4856615,7900,520
1778583450.5055237,7920,521
1778583450.5258982,7940,522
1778583450.5458968,7960,522
1778583450.5628855,7980,520
1778583450.5833187,8000,520
1778583450.6035311,8020,521
1778583450.624061,8040,523
1778583450.6447117,8060,522
1778583450.6652274,8080,520
1778583450.685774,8100,519
1778583450.7061493,8120,522
1778583450.7266512,8140,521
1778583450.7430248,8160,521
1778583450.7635255,8180,521
1778583450.7840247,8200,522
1778583450.8045266,8220,520
1778583450.8250256,8240,522
1778583450.8454025,8260,522
1778583450.8659024,8280,519
1778583450.88559,8300,520
1778583450.9027772,8320,522
1778583450.9232762,8340,522
1778583450.9437773,8360,521
1778583450.9642766,8380,520
1778583450.9847777,8400,518
1778583451.0051513,8420,522
1778583451.0256228,8440,522
1778583451.0458179,8460,519
1778583451.066527,8480,521
1778583451.0830283,8500,522
1778583451.103713,8520,520
1778583451.1242185,8540,520
1778583451.144406,8560,522
1778583451.1653855,8580,522
1778583451.185302,8600,520
1778583451.2057824,8620,521
1778583451.2259953,8640,522
1778583451.246781,8660,522
1778583451.2632785,8680,519
1778583451.2837803,8700,519
1778583451.3042123,8720,522
1778583451.3246546,8740,522
1778583451.3451543,8760,520
1778583451.3665674,8780,520
1778583451.3860297,8800,522
1778583451.4065306,8820,522
1778583451.4229052,8840,519
1778583451.4434068,8860,521
1778583451.4645455,8880,523
1778583451.4844058,8900,522
1778583451.5055761,8920,520
1778583451.5254073,8940,522
1778583451.545782,8960,522
1778583451.5662806,8980,521
1778583451.5868335,9000,520
1778583451.6034555,9020,522
1778583451.6234443,9040,522
1778583451.6440942,9060,521
1778583451.6645947,9080,520
1778583451.685028,9100,520
1778583451.7055404,9120,523
1778583451.72604,9140,520
1778583451.7461324,9160,520
1778583451.7629094,9180,522
1778583451.7838774,9200,522
1778583451.803908,9220,521
1778583451.8244083,9240,520
1778583451.8447835,9260,523
1778583451.865892,9280,522
1778583451.8857849,9300,521
1778583451.9061604,9320,517
1778583451.9266565,9340,522
1778583451.9431593,9360,519
1778583451.963659,9380,521
1778583451.9840343,9400,520
1778583452.004535,9420,522
1778583452.0250354,9440,522
1778583452.0455353,9460,520
1778583452.06597,9480,521
1778583452.0858126,9500,522
1778583452.1029105,9520,521
1778583452.1232867,9540,520
1778583452.1437614,9560,521
1778583452.1642873,9580,522
1778583452.184786,9600,521
1778583452.205723,9620,520
1778583452.2257864,9640,520
1778583452.2461631,9660,523
1778583452.26659,9680,522
1778583452.283038,9700,519
1778583452.3035374,9720,520
1778583452.3240373,9740,521
