pc_timestamp,arduino_ms,analog_value
1778513212.4871416,20,507
1778513212.4871416,40,509
1778513212.488131,60,506
1778513212.488131,80,508
1778513212.489131,100,506
1778513212.489131,120,506
1778513212.4901302,140,509
1778513212.4901302,160,506
1778513212.4911306,180,508
1778513212.4911306,200,507
1778513212.4921293,220,507
1778513212.4931285,240,509
1778513212.4931285,260,506
1778513212.4941282,280,507
1778513212.4941282,300,507
1778513212.4941282,320,505
1778513212.495128,340,508
1778513212.495128,360,507
1778513212.496127,380,506
1778513212.496127,400,508
1778513212.4971266,420,506
1778513212.4971266,440,509
1778513212.4971266,460,507
1778513212.4981265,480,507
1778513212.4981265,500,508
1778513212.4981265,520,506
1778513212.5129874,540,508
1778513212.5294876,560,507
1778513212.5498652,580,505
1778513212.5703292,600,508
1778513212.5908678,620,506
1778513212.611369,640,509
1778513212.6320453,660,508
1778513212.6533852,680,507
1778513212.6727538,700,509
1778513212.6936758,720,507
1778513212.7094398,740,507
1778513212.730723,760,509
1778513212.750741,780,506
1778513212.7719815,800,509
1778513212.792531,820,507
1778513212.8140213,840,507
1778513212.832504,860,508
1778513212.8528018,880,506
1778513212.869761,900,509
1778513212.8898957,920,507
1778513212.9103966,940,507
1778513212.9305813,960,508
1778513212.951571,980,507
1778513212.9717143,1000,508
1778513212.9922147,1020,508
1778513213.0127168,1040,506
1778513213.0331526,1060,509
1778513213.0496545,1080,506
1778513213.0701544,1100,507
1778513213.0905309,1120,506
1778513213.1120484,1140,506
1778513213.1318731,1160,509
1778513213.154037,1180,507
1778513213.1734273,1200,508
1778513213.1934154,1220,507
1778513213.2104304,1240,506
1778513213.2307901,1260,509
1778513213.2507806,1280,506
1778513213.2707682,1300,507
1778513213.2912762,1320,509
1778513213.311778,1340,506
1778513213.3340962,1360,508
1778513213.3536887,1380,507
1778513213.3741922,1400,506
1778513213.3905702,1420,508
1778513213.409937,1440,506
1778513213.4305625,1460,508
1778513213.4510636,1480,508
1778513213.4716337,1500,507
1778513213.4928992,1520,509
1778513213.5118883,1540,505
1778513213.532362,1560,507
1778513213.5494459,1580,508
1778513213.5698247,1600,505
1778513213.5903263,1620,507
1778513213.6109304,1640,507
1778513213.6312053,1660,506
1778513213.6527,1680,508
1778513213.6737106,1700,507
1778513213.6927106,1720,508
1778513213.7132103,1740,508
1778513213.7295876,1760,507
1778513213.7498627,1780,508
1778513213.7704654,1800,506
1778513213.7908115,1820,507
1778513213.81144,1840,507
1778513213.8337398,1860,506
1778513213.8524714,1880,508
1778513213.8731875,1900,506
1778513213.8897295,1920,508
1778513213.9098506,1940,507
1778513213.9300027,1960,505
1778513213.9509687,1980,509
1778513213.9712262,2000,507
1778513213.9926615,2020,507
1778513214.0122304,2040,509
1778513214.0329912,2060,505
1778513214.0531127,2080,508
1778513214.0696158,2100,506
1778513214.0900283,2120,507
1778513214.110492,2140,508
1778513214.1309938,2160,506
1778513214.1518078,2180,508
1778513214.1730015,2200,507
1778513214.1933827,2220,507
1778513214.2138813,2240,508
1778513214.2342243,2260,506
1778513214.2499108,2280,508
1778513214.270256,2300,508
1778513214.290756,2320,506
1778513214.3112602,2340,509
1778513214.331635,2360,506
1778513214.3531137,2380,508
1778513214.3736453,2400,507
1778513214.3941464,2420,505
1778513214.4095175,2440,508
1778513214.430017,2460,506
1778513214.4502914,2480,508
1778513214.4708645,2500,507
1778513214.4913878,2520,507
1778513214.512605,2540,509
1778513214.5334082,2560,506
1778513214.5539072,2580,507
1778513214.5740142,2600,509
1778513214.5897784,2620,506
1778513214.6102808,2640,508
1778513214.631711,2660,507
1778513214.651275,2680,506
1778513214.671661,2700,508
1778513214.6931672,2720,506
1778513214.7122564,2740,508
1778513214.7331107,2760,507
1778513214.7495093,2780,507
1778513214.7698896,2800,508
1778513214.790873,2820,506
1778513214.810921,2840,508
1778513214.831422,2860,506
1778513214.85269,2880,505
1778513214.8734336,2900,508
1778513214.8928022,2920,506
1778513214.9141848,2940,507
1778513214.9295883,2960,507
1778513214.9506893,2980,506
1778513214.9706836,3000,508
1778513214.9908967,3020,507
1778513215.0116868,3040,508
1778513215.0330935,3060,508
1778513215.052565,3080,506
1778513215.0740736,3100,508
1778513215.0894423,3120,507
1778513215.1099455,3140,507
1778513215.1304471,3160,507
1778513215.1510274,3180,506
1778513215.1711001,3200,508
1778513215.1919513,3220,506
1778513215.212327,3240,506
1778513215.2338355,3260,508
1778513215.2533011,3280,506
1778513215.269849,3300,509
1778513215.2902071,3320,507
1778513215.310595,3340,506
1778513215.331058,3360,508
1778513215.3517025,3380,506
1778513215.3730974,3400,508
1778513215.3925862,3420,506
1778513215.4139683,3440,506
1778513215.4304752,3460,509
1778513215.450979,3480,506
1778513215.4710958,3500,509
1778513215.4917758,3520,507
1778513215.5123582,3540,506
1778513215.5328577,3560,508
1778513215.5522044,3580,506
1778513215.5737362,3600,508
1778513215.594237,3620,508
1778513215.6106148,3640,506
1778513215.631116,3660,507
1778513215.6511831,3680,506
1778513215.6713357,3700,506
1778513215.6920342,3720,508
1778513215.7129974,3740,506
1778513215.7324917,3760,509
1778513215.752758,3780,507
1778513215.7694597,3800,507
1778513215.7898693,3820,508
1778513215.8103712,3840,506
1778513215.8304677,3860,508
1778513215.8508906,3880,507
1778513215.871751,3900,506
1778513215.8924067,3920,509
1778513215.9137623,3940,506
1778513215.9342625,3960,506
1778513215.9495301,3980,507
1778513215.970706,4000,506
1778513215.9906356,4020,508
1778513216.0110126,4040,506
1778513216.0317686,4060,508
1778513216.0521426,4080,508
1778513216.0725167,4100,507
1778513216.0939674,4120,509
1778513216.109292,4140,506
1778513216.129896,4160,507
1778513216.1503978,4180,508
1778513216.1709514,4200,505
1778513216.1912758,4220,508
1778513216.2117784,4240,507
1778513216.2322092,4260,506
1778513216.2523909,4280,508
1778513216.2741635,4300,506
1778513216.2896578,4320,509
1778513216.3097062,4340,507
1778513216.330466,4360,507
1778513216.3507876,4380,508
1778513216.371539,4400,506
1778513216.392042,4420,508
1778513216.4124193,4440,506
1778513216.434022,4460,506
1778513216.4492674,4480,508
1778513216.4693215,4500,506
1778513216.490298,4520,507
1778513216.5108004,4540,507
1778513216.531302,4560,506
1778513216.5517533,4580,509
1778513216.5724452,4600,506
1778513216.5926814,4620,508
1778513216.6131835,4640,508
1778513216.6295588,4660,506
1778513216.6505404,4680,508
1778513216.6705506,4700,506
1778513216.691065,4720,506
1778513216.7117522,4740,508
1778513216.732067,4760,505
1778513216.7519977,4780,509
1778513216.773585,4800,507
1778513216.7934463,4820,506
1778513216.809823,4840,507
1778513216.829934,4860,506
1778513216.8512163,4880,508
1778513216.8707871,4900,508
1778513216.891704,4920,506
1778513216.911969,4940,508
1778513216.9327083,4960,506
1778513216.9528039,4980,507
1778513216.9695566,5000,507
1778513216.9903622,5020,506
1778513217.0104074,5040,508
1778513217.0307026,5060,506
1778513217.0515554,5080,508
1778513217.0729399,5100,508
1778513217.0923417,5120,506
1778513217.1137981,5140,509
1778513217.1337764,5160,507
1778513217.1507328,5180,507
1778513217.171184,5200,508
1778513217.1908696,5220,506
1778513217.211858,5240,508
1778513217.2327383,5260,507
1778513217.252655,5280,506
1778513217.2722776,5300,508
1778513217.294119,5320,506
1778513217.310496,5340,508
1778513217.3309708,5360,507
1778513217.3514998,5380,507
1778513217.37143,5400,508
1778513217.3921142,5420,506
1778513217.413002,5440,508
1778513217.4335074,5460,507
1778513217.4535687,5480,506
1778513217.4735923,5500,508
1778513217.49029,5520,506
1778513217.5112615,5540,507
1778513217.530682,5560,507
1778513217.5522642,5580,506
1778513217.5716748,5600,508
1778513217.5924742,5620,506
1778513217.6136456,5640,508
1778513217.6341474,5660,508
1778513217.6495125,5680,506
1778513217.6697855,5700,508
1778513217.6905155,5720,504
1778513217.71089,5740,508
1778513217.731394,5760,506
1778513217.751894,5780,506
1778513217.7720242,5800,508
1778513217.7928975,5820,505
1778513217.8132732,5840,506
1778513217.8297465,5860,507
1778513217.850152,5880,506
1778513217.8704169,5900,508
1778513217.8911552,5920,505
1778513217.9116557,5940,508
1778513217.9321587,5960,508
1778513217.952534,5980,506
1778513217.9730372,6000,509
1778513217.9894118,6020,505
1778513218.0098865,6040,507
1778513218.0304146,6060,506
1778513218.0509162,6080,506
1778513218.07129,6100,507
1778513218.0919192,6120,506
1778513218.1122968,6140,506
1778513218.1327975,6160,508
1778513218.153255,6180,505
1778513218.1696758,6200,508
1778513218.1901782,6220,507
1778513218.2106783,6240,507
1778513218.2312286,6260,508
1778513218.2515564,6280,506
1778513218.2725344,6300,508
1778513218.2925618,6320,506
1778513218.3130615,6340,506
1778513218.329438,6360,508
1778513218.3503706,6380,505
1778513218.3704429,6400,508
1778513218.3908172,6420,506
1778513218.4113188,6440,506
1778513218.43182,6460,508
1778513218.452322,6480,506
1778513218.4727778,6500,508
1778513218.4932015,6520,507
1778513218.5097015,6540,506
1778513218.5302029,6560,509
1778513218.5505812,6580,506
1778513218.5708983,6600,507
1778513218.591583,6620,507
1778513218.612084,6640,506
1778513218.6325397,6660,508
1778513218.652963,6680,506
1778513218.6694634,6700,508
1778513218.6897135,6720,508
1778513218.710342,6740,506
1778513218.7308433,6760,508
1778513218.7513454,6780,507
1778513218.772151,6800,507
1778513218.792195,6820,508
1778513218.8127248,6840,506
1778513218.833226,6860,508
1778513218.8496025,6880,505
1778513218.8700619,6900,506
1778513218.8905773,6920,507
1778513218.9111092,6940,506
1778513218.9315338,6960,508
1778513218.951986,6980,507
1778513218.9724872,7000,508
1778513218.9929454,7020,507
1778513219.0093663,7040,506
1778513219.0298665,7060,508
1778513219.0503688,7080,507
1778513219.0708694,7100,507
1778513219.091247,7120,508
1778513219.1117494,7140,506
1778513219.132249,7160,508
1778513219.1527529,7180,506
1778513219.173629,7200,506
1778513219.1893325,7220,508
1778513219.210015,7240,506
1778513219.2304757,7260,508
1778513219.2510111,7280,507
1778513219.2718353,7300,507
1778513219.292543,7320,508
1778513219.3125129,7340,506
1778513219.3328285,7360,508
1778513219.353391,7380,507
1778513219.3697684,7400,506
1778513219.3905752,7420,508
1778513219.4107707,7440,506
1778513219.431273,7460,508
1778513219.4517756,7480,506
1778513219.472451,7500,506
1778513219.492653,7520,508
1778513219.5131533,7540,505
1778513219.5295298,7560,508
1778513219.5499697,7580,507
1778513219.5705328,7600,506
1778513219.5908256,7620,508
1778513219.6115355,7640,506
1778513219.631914,7660,507
1778513219.6524138,7680,507
1778513219.6728604,7700,506
1778513219.6934183,7720,508
1778513219.7097936,7740,506
1778513219.7302961,7760,506
1778513219.7507968,7780,508
1778513219.771298,7800,506
1778513219.791646,7820,508
1778513219.8121755,7840,507
1778513219.8326774,7860,507
1778513219.853179,7880,508
1778513219.869556,7900,506
1778513219.890018,7920,508
1778513219.9105613,7940,506
1778513219.9309351,7960,505
1778513219.9513652,7980,508
1778513219.9719384,8000,506
1778513219.9924397,8020,507
1778513220.013269,8040,507
1778513220.033268,8060,505
1778513220.0492647,8080,508
1778513220.070316,8100,505
1778513220.090694,8120,508
1778513220.1112053,8140,508
1778513220.1327136,8160,506
1778513220.153213,8180,509
1778513220.1735914,8200,506
1778513220.1929631,8220,507
1778513220.2102463,8240,507
1778513220.2299688,8260,505
